Mod:Item:MetaData, Localized Name
thedalekmod:bte4thsecondarychair, Newbery Chair
thedalekmod:bte4thsecondarytable, Newbery Table
thedalekmod:btehartnellarmilarrysphere, Armilarry Sphere
thedalekmod:btehartnellpole, Brass Pillar
thedalekmod:btehellbentpolehemisphere, Hellbent Pole Hemi-Sphere
thedalekmod:bte4thsecondarymonitorwall, Newbery Wall Monitor
thedalekmod:btehartnelllightbox, Lightbox
thedalekmod:btehellbentpole, Hellbent Pole
thedalekmod:bfourth:0, Newbery Wall Divider Top
thedalekmod:bfourth:1, Newbery Wall Divider Top
thedalekmod:bfourth:2, Newbery Wall Divider
thedalekmod:bfourth:3, Newbery Stair Railing
thedalekmod:bfourth:4, Newbery Pillar
thedalekmod:bfourth:5, Newbery Roundel
thedalekmod:bfourth:6, Newbery §7Glass§r Roundel
thedalekmod:bfourth:7, Newbery §dGlass§r Roundel
thedalekmod:bfourth:8, Newbery §eGlass§r Roundel
thedalekmod:bfourth:9, Newbery Wall Top
thedalekmod:btehartnelldoor, Brackachi Secondary Door
thedalekmod:btehartnellfloor, Brackachi Hexagon Floor
thedalekmod:btehartnelldoor2, Brackachi Roundel Door
thedalekmod:btecoppertardisatomaccelerator, Copper Atom Accelerator
thedalekmod:btecoppertardishandbrake, Copper Handbrake
thedalekmod:btecoppertardispaneldivider, Copper Console Divider
thedalekmod:btecoppertardisredlever, Copper Red Lever
thedalekmod:btecoppertardisspinner, Copper Spinner
thedalekmod:btecoppertardistube, Copper Tardis Tube
thedalekmod:btecoppertardispanelgramophone, Copper Gramophone
thedalekmod:btecoppertardisswitchpanel, Copper Switch Panel
thedalekmod:btecoppertardiskeyboard, Copper Keyboard
thedalekmod:btehellbentdoor, Hellbent Interior Door
thedalekmod:btecoppertardisrotor, Copper Rotor
thedalekmod:btecoralentrancething, Coral Entrance Ramp
thedalekmod:btepowerhexagon, Ceiling Hexagon
thedalekmod:hartnellroundel1, Brackachi Roundel A
thedalekmod:hartnellroundel2, Brackachi Roundel B
thedalekmod:hartnellroundel3, Brackachi Roundel B (Bottom)
thedalekmod:btehandinjar, Hand in a jar
thedalekmod:btetoyotacorridorsblue, Toyota Corridor §7(§cBlue§7)
thedalekmod:brachi_scanner, Brachacki Scanner
thedalekmod:solar_panel, Solar Panel
thedalekmod:bte2010corridor, Copper Corridor
thedalekmod:bte2010corridoropen, Copper Corridor Door (Open)
thedalekmod:bte2010corridorjunction, Copper Corridor Junction
thedalekmod:bte2010corridordoor, Copper Corridor Door (Closed)
thedalekmod:bte2013rotor, Glass Rotor
thedalekmod:mstaffcmd, Command Block
thedalekmod:coralstairs, Coral Roof Divider Stairs
thedalekmod:coralstairs_2, Coral Stone Stairs
thedalekmod:painting, Painting
thedalekmod:sonic_crystal_ore, Crystal ore
thedalekmod:us_flag, United States Flag
thedalekmod:varos_sand, Varos Sand
thedalekmod:chameleon_panel, Chameleon Circuit Panel
thedalekmod:pillar_toyota_top, Toyota Pillar Top
thedalekmod:btecopper_int_doors, Copper Interior Doors
thedalekmod:btehartnell_int_doors, Hartnell Interior Doors
thedalekmod:btetoyota_int_doors_7b, Toyota Interior Doors [7B]
thedalekmod:btetroughton_int_doors, Troughton Interior Doors
thedalekmod:present, Present
thedalekmod:wreath, Wreath
thedalekmod:christmas_tree, Christmas Tree
thedalekmod:ginger_door, Gingerbread Interior Door
thedalekmod:fireplace, Fireplace
thedalekmod:chimney, Chimney
thedalekmod:hexa_roundel, Wall Hexagon A
thedalekmod:hexa_roundel_alt, Wall Hexagon B
thedalekmod:roundel_half, 3D Roundel A
thedalekmod:roundel_full, 3D Roundel B
thedalekmod:screwdriver_charger, Sonic Screwdriver Charging Station
thedalekmod:copper_wall, Copper Wall
thedalekmod:copper_roundel, Copper Roundel
thedalekmod:fatblock, Fat Block
thedalekmod:cysteelore, Unrefined Steel Ore
thedalekmod:eggshellblock, Egg Shells
thedalekmod:safe, Safe
thedalekmod:force_field_control_panel, Force Field Control Panel
thedalekmod:bteambientintdoor, Ambient Door
thedalekmod:bteraniconsole, Rani Console
thedalekmod:braniwall, Trerise Wall
thedalekmod:braniroundel, Trerise Roundel
thedalekmod:branipillar, Trerise Pillar
thedalekmod:branipanel, Trerise Panel
thedalekmod:classic_dirt, Classic Dirt
thedalekmod:crystaline_handbrake, Crystaline Handbrake
thedalekmod:crystaline_goggles, Crystaline Goggle
thedalekmod:crystaline_mic, Crystaline Mic
thedalekmod:crystaline_pipe, Crystaline Pipe
thedalekmod:crystaline_roundel, Crystaline Hexagon Lamp
thedalekmod:kerblam_box, Kerblam Box
thedalekmod:crystaline_pillar, Crystaline Pillar
thedalekmod:crystaline_rotor, Crystaline Rotor
thedalekmod:thirteendoctorstatue, 13th Doctor Statue
thedalekmod:crystaline_door, Crystaline Interior Door
thedalekmod:chronotis_console, Chronotis Console
thedalekmod:gallifrey_falls_painting, Gallifrey Falls Painting
thedalekmod:brachi_floormat, Brachacki Floormat
thedalekmod:hellbent_floormat, Hellbent Floormat
thedalekmod:brachi_panel_1, Fault Locator 1
thedalekmod:brachi_panel_2, Fault Locator 2
thedalekmod:brachi_panel_3, Fault Locator 3
thedalekmod:brachi_panel_4, Fault Locator 4
thedalekmod:brachi_panel_5, Fault Locator 5
thedalekmod:mars_titanium, Mars Titanium Ore
thedalekmod:rusted_iron_ore, Rusted Iron Ore
thedalekmod:mars_quartz, Mars Quartz Ore
thedalekmod:mars_emerald, Mars Emerald Ore
thedalekmod:btewardoor, War Interior Door
thedalekmod:btecoraldoor_2, 2006 Coral Door
thedalekmod:crystaline_ore, Crystaline Ore
thedalekmod:brachi_roundel_door, Brachacki Roundel Interior Door
thedalekmod:dalek_emperor, Dalek Emperor
thedalekmod:forest_in_box, Forest In Box
thedalekmod:vortis_rock, Vortis Rock
thedalekmod:vortis_sand, Vortis Sand
thedalekmod:vortis_crystal, Vortis Crystal
thedalekmod:vortis_brick, Vortis Brick
thedalekmod:vortis_quartz, Vortis Quartz Ore
thedalekmod:vortis_gold, Vortis Gold Ore
thedalekmod:vortis_diamond, Vortis Diamond Ore
thedalekmod:vortis_crystaline, Vortis Crystaline Ore
thedalekmod:vortis_blue, Vortis Blue Quartz Ore
thedalekmod:blue_quartz, Blue Quartz Block
thedalekmod:hartnellwall, Brackachi Wall
thedalekmod:hartnellblowup1, Blowup Roundel A
thedalekmod:hartnellblowup2, Blowup Roundel B
thedalekmod:roundel_ruth:0, Fugitive Roundel A
thedalekmod:roundel_ruth:1, Fugitive Roundel B
thedalekmod:roundel_ruth:2, Fugitive Roundel C
thedalekmod:roundel_ruth:3, Fugitive Roundel D
thedalekmod:roundel_ruth:4, Fugitive Roundel E
thedalekmod:roundel_ruth:5, Fugitive Roundel F
thedalekmod:tardis_control_randomiser, Random Coordinate Panel
thedalekmod:tardis_control_player_locator, Player Locator Panel
thedalekmod:untempered_schism, Untempered Schism
thedalekmod:crystaline_block, Crystaline Block
thedalekmod:master_floor, Granite Floor
thedalekmod:master_dark_roundel_a, Dark Kelt Roundel A
thedalekmod:master_dark_roundel_b, Dark Kelt Roundel B
thedalekmod:master_interior_door, Dark Kelt Interior Door
thedalekmod:master_light_roundel_a, Dark Kelt Roundel (Lit) A
thedalekmod:master_light_roundel_b, Dark Kelt Roundel (Lit) B
thedalekmod:master_light_roundel_c, Dark Kelt Roundel (Lit) C
thedalekmod:master_pillar, Granite Pillar
thedalekmod:cheese_block, Block of Cheese
thedalekmod:copper_ore, Copper Ore
thedalekmod:zeiton_ore_gallifrey, Zeiton Ore
thedalekmod:copper_ore_gallifrey, Copper Ore
thedalekmod:sillicate_gallifrey, Sillicate Ore
thedalekmod:diamond_gallifrey, Diamond Ore
thedalekmod:whitepointstar_ore, White-Point Star ore
thedalekmod:yellow_clay_ore, Yellow Clay Ore
thedalekmod:green_clay_ore, Green Clay Ore
thedalekmod:azbantium, Azbantium
thedalekmod:gallifrey_brick, Gallifrey Brick
thedalekmod:gallifrey_chiseled, Gallifrey Chiseled Brick
thedalekmod:gallifrey_brick_stairs, Gallifrey Brick Stairs
thedalekmod:dmbricks_11_stairs, Green Brick Stairs
thedalekmod:gallifrey_tallgrass, Gallifrey Grass
thedalekmod:thanaplant, Thana Plant
thedalekmod:varos_plastic, Varos Plastic Ore
thedalekmod:varos_lapiz, Varos Lapiz Ore
thedalekmod:mars_lonsdaleite, Mars Lonsdaleite Ore
thedalekmod:moment_box, The Moment
thedalekmod:dalek_radio, Dalek Radio
thedalekmod:sb129_wall, SB-129 Wallpaper
thedalekmod:sb129_panel, SB-129 Control Panel
thedalekmod:sb129_light, SB-129 Gold Lamp
thedalekmod:sb129_door, SB-129 Door
thedalekmod:rgb_roundel_a, RGB Roundel A
thedalekmod:rgb_roundel_b, RGB Roundel B
thedalekmod:rgb_roundel_c, RGB Roundel C
thedalekmod:gear, Gear
thedalekmod:dalek_dead, tile.dalek_dead.name
thedalekmod:boti_painting, BOTI Painting
thedalekmod:dmbricks_5_stairs, Grey Brick Stairs
thedalekmod:tardis_handbrake_black, Dark Handbrake
thedalekmod:silicon_block, Silicon Block
thedalekmod:rgb_roundel_d, RGB Roundel D
thedalekmod:rgb_roundel_light_a, Rainbow Roundel A
thedalekmod:rgb_roundel_light_b, Rainbow Roundel B
thedalekmod:rgb_roundel_light_c, Rainbow Roundel C
thedalekmod:rgb_roundel_light_d, Rainbow Roundel D
thedalekmod:granite_roundel_a, Granite Roundel A
thedalekmod:granite_roundel_b, Granite Roundel B
thedalekmod:rainbow_strip_a, Rainbow Light-strip A
thedalekmod:rainbow_strip_b, Rainbow Light-strip B
thedalekmod:rainbow_strip_c, Rainbow Light-strip C
thedalekmod:rainbow_strip_d, Rainbow Light-strip D
thedalekmod:rgb_strip_a, RGB Light-strip A
thedalekmod:rgb_strip_b, RGB Light-strip B
thedalekmod:rgb_strip_c, RGB Light-strip C
thedalekmod:rgb_strip_d, RGB Light-strip D
thedalekmod:tardim_roundel, TARDIM Roundel
thedalekmod:white_concrete_roundel_a, White Concrete Roundel A
thedalekmod:white_concrete_roundel_b, White Concrete Roundel B
thedalekmod:blue_quartz_stair, Blue Quartz Stairs
thedalekmod:vanilla_handbrake, Lever Handbrake
thedalekmod:visualiser, TARDIS Visualiser
thedalekmod:grave1, Grave 1
thedalekmod:grave2, Grave 2
thedalekmod:grave3, Grave 3
thedalekmod:grave4, Tall Grave
thedalekmod:tardim_rotor_top, TARDIM Rotor Top
thedalekmod:tardim_rotor_middle, TARDIM Rotor Middle
thedalekmod:tardim_rotor_bottom, TARDIM Rotor Bottom
thedalekmod:granitesteel, Trenzalore Steel Ore
thedalekmod:graniteiron, Trenzalore Iron Ore
thedalekmod:granitegold, Trenzalore Gold Ore
thedalekmod:granitediamond, Trenzalore Diamond Ore
thedalekmod:steelblockdecorative, Decorative Steel Block
thedalekmod:awabloom, Awabloom
thedalekmod:cichorium, Cichorium
thedalekmod:epsilon_half_roundel, §5Epsimo Roundel B§r
thedalekmod:skaro_dirt, Skaro Dirt
thedalekmod:skaro_grass, Skaro Grass
thedalekmod:skaro_rock, Skaro Rock
thedalekmod:metalert_ore, Skaro Metalert Ore
thedalekmod:skaro_coal, Skaro Coal
thedalekmod:skaro_emerald, Skaro Emerald
thedalekmod:skaro_diamond, Skaro Diamond
thedalekmod:skaro_copper, Skaro Copper
thedalekmod:metalert_block, Metalert Block
thedalekmod:toxic_waste, tile.toxic_waste.name
thedalekmod:petrified_log, Petrified Log
thedalekmod:petrified_planks, Petrified Planks
thedalekmod:petrified_leaves, Petrified Leaves
thedalekmod:petrified_planks_stairs, Petrified Wood Stairs
thedalekmod:server, Server
thedalekmod:monitor, Monitor
thedalekmod:landmine, Landmine
thedalekmod:landmineexplosive, Landmine Explosive
thedalekmod:epsimo_door, Epsimo Door
thedalekmod:modloader_console, Modloader Console
thedalekmod:fuel_tank, Tardis Fuel Bank
thedalekmod:roundel_tempus:0, Tempus Roundel
thedalekmod:roundel_tempus:1, Tempus Roundel
thedalekmod:roundel_tempus:2, Tempus Roundel
thedalekmod:roundel_tempus:3, Tempus Roundel
thedalekmod:petrified_flower, Petrified Flower
thedalekmod:the_wire_a, The Wire
thedalekmod:the_wire_b, The Wire
thedalekmod:the_wire_c, The Wire
thedalekmod:glass_pane, Borderless Glass Pane
thedalekmod:wallpaper_floral, Floral Wallpaper
thedalekmod:wallpaper_blue, Blue Wallpaper
thedalekmod:wallpaper_cyan, Cyan Wallpaper
thedalekmod:wallpaper_pink_stripes, Pink Striped Wallpaper
thedalekmod:wallpaper_blue_stripes, Blue Striped Wallpaper
thedalekmod:coral_mesh_trapdoor, Coral Mesh Trapdoor
thedalekmod:lime_terracotta_stairs, Lime Terracotta Stairs
thedalekmod:baker_console, Baker Console
thedalekmod:snow_globe, Tardis Snow Globe
thedalekmod:dalek_clock, Dalek Clock
thedalekmod:fruitcake, Horrible Christmas Fruitcake
thedalekmod:festive_nitro9, Festive Nitro-9
thedalekmod:varos_leaves, Varos Leaves
thedalekmod:shalka_console, Shalka Console
thedalekmod:armchair, TV Movie Tardis Chair
thedalekmod:hudolin_console, Hudolin Console
thedalekmod:gallifrey_brick_slab:0, Gallifrey Brick Slab
thedalekmod:bslabtoyotaroof:0, Toyota Roof Slab
thedalekmod:bslabtoyotaplatform:0, Toyota Platform Slab
thedalekmod:bslabtoyotaconsole:0, Toyota Console Slab
thedalekmod:bcoralslab1:0, Coral Mesh Slab
thedalekmod:bcoralslab2:0, Coral Sandstone Slab
thedalekmod:bcoralslab3:0, Coral Stone Slab
thedalekmod:bsecondaryslab1:0, Newbery Stair Railing Slab
thedalekmod:bsecondaryslab2:0, Newbery Pillar Slab
thedalekmod:crystaline_slab:0, Crystaline Slab
thedalekmod:lime_terracotta_slab:0, Lime Terracotta Slab
thedalekmod:red_concrete_slab:0, Red Concrete Slab
thedalekmod:cyberman_0, Spawn Earthshock Cyberman
thedalekmod:cyberman_1, Spawn Cyberman
thedalekmod:cyberman_2, Spawn Cyber Villager
thedalekmod:cyberman_3, Spawn Tenth Planet Cyberman
thedalekmod:cyberman_4, Spawn Cyber Leader
thedalekmod:auton_0, Spawn Auton A
thedalekmod:auton_1, Spawn Auton B
thedalekmod:auton_2, Spawn Auton C
thedalekmod:auton_3, Spawn Auton D
thedalekmod:auton_4, Spawn Auton E
thedalekmod:auton_5, Spawn Auton F
thedalekmod:auton_6, Spawn Auton G
thedalekmod:auton_7, Spawn Auton H
thedalekmod:auton_8, Spawn Auton I
thedalekmod:clockworkdroid_0, Spawn Clockwork Droid A
thedalekmod:clockworkdroid_1, Spawn Clockwork Droid B
thedalekmod:clockworkdroid_2, Spawn Clockwork Droid C
thedalekmod:adipose, Spawn Adipose
thedalekmod:gasmaskzombie_0, Spawn Empty Child
thedalekmod:gasmaskzombie_1, Spawn Gaskmask Zombie A
thedalekmod:gasmaskzombie_2, Spawn Gaskmask Zombie B
thedalekmod:gasmaskzombie_3, Spawn Gaskmask Zombie C
thedalekmod:gasmaskzombie_4, Spawn Gaskmask Zombie D
thedalekmod:gasmaskzombie_5, Spawn Gaskmask Zombie E
thedalekmod:gasmaskzombie_6, Spawn Gaskmask Zombie F
thedalekmod:gasmaskzombie_7, Spawn Gaskmask Zombie G
thedalekmod:gasmaskzombie_8, Spawn Gaskmask Zombie H
thedalekmod:gasmaskzombie_9, Spawn Gaskmask Zombie I
thedalekmod:snowman_0, Spawn Snowman
thedalekmod:snowman_1, Spawn Snowman
thedalekmod:snowman_2, Spawn iSnowman
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:fez:0, Fez
thedalekmod:gasmask, Gas Mask
thedalekmod:4thscarf, 4th Doctor's Scarf
thedalekmod:hat7th, 7th Doctor's Hat
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:bowtie:0, Bow Tie
thedalekmod:blackglasses, Black Glasses
thedalekmod:3dglasses, 3D Glasses
thedalekmod:drark, Astrakhan
thedalekmod:drcloak, Inverness Cloak
thedalekmod:colin_coat, Rainbow Frock Coat
thedalekmod:tophat, Top Hat
thedalekmod:acejacket, Bomber Jacket
thedalekmod:stetson, Stetson
thedalekmod:drspace_0, Doctor's Space Suit Helmet
thedalekmod:drspace_1, Doctor's Space Suit Jacket
thedalekmod:drspace_3, Doctor's Space Suit Leggings
thedalekmod:drspace_2, Doctor's Space Suit Boots
thedalekmod:tardiskey, TARDIS Key
thedalekmod:acesbaseballbat, Baseball Bat
thedalekmod:dalekaniumsword, Dalekanium Sword
thedalekmod:dalekaniumbattleaxe, Dalekanium Battleaxe
thedalekmod:steelsword, Steel Sword
thedalekmod:dalekaniumingot, Dalekanium Ingot
thedalekmod:steelingot, Steel Ingot
thedalekmod:zeiton7crystal, Zeiton 7 Crystal
thedalekmod:hat4th, 4th Doctor's Hat
thedalekmod:fur_coat, Fur Coat
thedalekmod:nasasuit_0, NASA Space Suit Helmet
thedalekmod:nasasuit_1, NASA Space Suit Torso
thedalekmod:nasasuit_3, NASA Space Suit Leggings
thedalekmod:nasasuit_2, NASA Space Suit Boots
thedalekmod:orangesuit_0, NASA Orange Space Suit Helmet
thedalekmod:orangesuit_1, NASA Orange Space Suit Torso
thedalekmod:orangesuit_3, NASA Space Suit Leggings
thedalekmod:orangesuit_2, NASA Orange Space Suit Boots
thedalekmod:swdsuit_0, SWD Space Program Suit Helmet
thedalekmod:swdsuit_1, SWD Space Program Suit Torso
thedalekmod:swdsuit_3, SWD Space Program Suit Leggings
thedalekmod:swdsuit_2, SWD Space Program Suit Boots
thedalekmod:blackbox, item.blackBox.name
thedalekmod:sonicblaster, Sonic Blaster
thedalekmod:tardisitem:1, Dalek Mod A (2013)
thedalekmod:tardisitem:2, Dalek Mod B (2014)
thedalekmod:tardisitem:3, Dalek Mod C (2013)
thedalekmod:tardisitem:4, Dalek Mod D (2013)
thedalekmod:tardisitem:5, 1st Doctor's TARDIS (1963)
thedalekmod:tardisitem:6, War Doctor's TARDIS (2013)
thedalekmod:tardisitem:7, 5th Doctor's TARDIS (1981)
thedalekmod:tardisitem:8, Bad Wolf TARDIS
thedalekmod:tardisitem:9, Bill & Ted Phone Booth
thedalekmod:tardisitem:10, Lego Dimensions TARDIS
thedalekmod:tardisitem:11, TT Capsule
thedalekmod:tardisitem:12, Vanilla TARDIS
thedalekmod:tardisitem:13, Clara Tribute TARDIS
thedalekmod:tardisitem:14, 11th Doctor's TARDIS (2010)
thedalekmod:tardisitem:15, 9th Doctor's TARDIS (2005)
thedalekmod:tardisitem:16, Alpha TARDIS
thedalekmod:tardisitem:17, Beta TARDIS
thedalekmod:tardisitem:18, Delta TARDIS
thedalekmod:tardisitem:19, Gamma TARDIS
thedalekmod:tardisitem:20, Hexon TARDIS
thedalekmod:tardisitem:21, Vanilla Oak Tree
thedalekmod:tardisitem:22, Fridge TARDIS
thedalekmod:tardisitem:23, 12th Doctor's TARDIS (2015)
thedalekmod:tardisitem:24, Rani's TARDIS
thedalekmod:tardisitem:25, Darkwood TARDIS
thedalekmod:tardisitem:26, 4th Doctor's TARDIS (1976)
thedalekmod:tardisitem:27, 8th Doctor's TARDIS (1996)
thedalekmod:tardisitem:28, 2nd Doctor's TARDIS (1966)
thedalekmod:tardisitem:29, 10th Doctor's TARDIS (2006)
thedalekmod:tardisitem:30, Vanilla Oak Door
thedalekmod:tardisitem:31, Ed's TARDIS
thedalekmod:tardisitem:32, K6 Telephone Box
thedalekmod:tardisitem:33, Blocktor TARDIS
thedalekmod:tardisitem:34, Etho TARDIS
thedalekmod:tardisitem:35, K2 Telephone Box
thedalekmod:tardisitem:36, Pokeball (Community)
thedalekmod:tardisitem:37, Gingerbread TARDIS
thedalekmod:tardisitem:38, Pepsi Vending Machine
thedalekmod:tardisitem:39, Modloader TARDIS (2013)
thedalekmod:tardisitem:40, Vanilla Log
thedalekmod:tardisitem:41, Vanilla Cobblestone
thedalekmod:tardisitem:42, Vanilla Bricks
thedalekmod:tardisitem:43, Shed
thedalekmod:tardisitem:44, Gizmo TARDIS
thedalekmod:tardisitem:45, Glasgow TARDIS
thedalekmod:tardisitem:46, Gallifreyan Wardrobe
thedalekmod:tardisitem:47, Steampunk Wardrobe
thedalekmod:tardisitem:48, Epsimo TARDIS
thedalekmod:tardisitem:49, 13th Doctor's TARDIS (2018)
thedalekmod:tardisitem:50, Chronotis Door
thedalekmod:tardisitem:51, 3rd Doctor's TARDIS (1973)
thedalekmod:tardisitem:52, Dr. Who's TARDIS (1965)
thedalekmod:tardisitem:53, Grandfather Clock
thedalekmod:tardisitem:54, Ruth's TARDIS
thedalekmod:tardisitem:55, Synced Police Box
thedalekmod:tardisitem:56, Tempus Police Box
thedalekmod:tardisitem:57, Happiness Patrol TARDIS (1988)
thedalekmod:tardisitem:61, Valient TARDIS
thedalekmod:tardisitem:65, Nether Portal
thedalekmod:tardisitem:66, The Master's Column TARDIS
thedalekmod:tardisitem:68, SB-129 Time Machine
thedalekmod:tardisitem:70, RGB Police Box
thedalekmod:tardisitem:71, Pride Police Box
thedalekmod:tardisitem:73, Cyber Capsule
thedalekmod:tardisitem:76, 11th Doctor's TARDIS (2013)
thedalekmod:tardisitem:77, Zeta TARDIS
thedalekmod:tardisitem:78, Altered-Zeta TARDIS
thedalekmod:tardisitem:79, C.M.Y.K Police Box
thedalekmod:tardisitem:80, Technicolor Police Box
thedalekmod:tardisitem:81, Vintage Seventies Police Box
thedalekmod:tardisitem:82, Synthwave Police Box
thedalekmod:tardisitem:83, Fedora Police Box
thedalekmod:tardisitem:84, Cola Vending Machine
thedalekmod:tardisitem:85, Snack Vending Machine
thedalekmod:tardisitem:86, Furnace TARDIS
thedalekmod:tardisitem:87, Marshall Stack Amp
thedalekmod:tardisitem:88, Scream of The Shalka Box
thedalekmod:tardisitem:89, Denys Fisher Police Box
thedalekmod:dalekaniumarmor_0, Dalekanium Helmet
thedalekmod:dalekaniumarmor_1, Dalekanium Torso
thedalekmod:dalekaniumarmor_3, Dalekanium Leggings
thedalekmod:dalekaniumarmor_2, Dalekanium Boots
thedalekmod:steelarmor_0, Steel Helmet
thedalekmod:steelarmor_1, Steel Torso
thedalekmod:steelarmor_3, Steel Leggings
thedalekmod:steelarmor_2, Steel Boots
thedalekmod:sonicshades:0, Sonic Shades
thedalekmod:sonicshades:1, Non Sonic Shades
thedalekmod:sonicscrewdriver, 10th Doctor's Sonic Screwdriver
thedalekmod:bessie, §6Bessie
thedalekmod:sonicscrewdriver_11, 11th Doctor's Sonic Screwdriver
thedalekmod:sonicscrewdriver_04,  4th Doctor's Sonic Screwdriver
thedalekmod:sonicscrewdriver_07, 7th Doctor's Sonic Screwdriver
thedalekmod:credit, §3Credit
thedalekmod:plasticchunk, Chunk of Plastic
thedalekmod:clockworkcog, §5Clockwork
thedalekmod:brassingot, §5Brass Ingot
thedalekmod:brasspickaxe, §5Brass Pickaxe
thedalekmod:brasssword, §5Brass Sword
thedalekmod:oldbrasssword, §4Dashing Sword
thedalekmod:iteimage, Image Loader
thedalekmod:titaniumore, Titanium Ore
thedalekmod:titaniumingot, Titanium Ingot
thedalekmod:doctorspoon, Spoon
thedalekmod:solarcell, §5Solar Cell
thedalekmod:oxygen_canister, Oxygen Canister
thedalekmod:icowifier, §2Story Mode?
thedalekmod:k9spawner, K9 Spawner
thedalekmod:handles, Handles
thedalekmod:2dis, 2Dis
thedalekmod:sonicscrewdriver_12, 12th Doctor's Sonic Screwdriver
thedalekmod:isantahat, Santa Hat
thedalekmod:iriftsword, Rift Sword
thedalekmod:i50aplauncher, 50ap's Launcher
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:ibauble:0, Explosive Bauble
thedalekmod:davroschair, Davros Chair
thedalekmod:weepingangel, Spawn Weeping Angel
thedalekmod:ihatbase:0, Headphones
thedalekmod:ihatbase:1, MCSM Virtual Reality Headset
thedalekmod:ihatbase:2, Mind Control Chip
thedalekmod:ihatbase:3, Nose and Headband
thedalekmod:ihatbase:4, TV Hat
thedalekmod:ihatbase:5, Shark Hat
thedalekmod:ihatbase:6, Ed's Glasses
thedalekmod:ihatbase:7, Mini You Hat
thedalekmod:ihatbase:8, Leprecorn
thedalekmod:ihatbase:9, Box Hat
thedalekmod:ihatbase:10, Fake Disguise
thedalekmod:ihatbase:11, Cyber-Frame
thedalekmod:ihatbase:12, Missy's Hat
thedalekmod:ihatbase:13, Pink & Black Cat Ears
thedalekmod:ihatbase:14, Pink & White Cat Ears
thedalekmod:ihatbase:15, U.N.I.T Cap
thedalekmod:ihatbase:16, Big Head
thedalekmod:ihatbase:17, White Scooter Helmet
thedalekmod:ihatbase:18, Pink Scooter Helmet
thedalekmod:romanasonicscrewdriver, Romana's Sonic Screwdriver
thedalekmod:k9_head, K9 Head
thedalekmod:k9_body, K9 Body
thedalekmod:k9_tail, K9 Tail
thedalekmod:k9_regen_unit, K9 Regeneration Unit
thedalekmod:circuit, Electronic Circuit
thedalekmod:silicon, Silicon
thedalekmod:statremote, Stattenheim Remote
thedalekmod:timelord_rifle, Timelord Staser
thedalekmod:dalek_weapon, Dalek Gunstick
thedalekmod:spanner, Spanner
thedalekmod:ifood:0, Kronkburger
thedalekmod:ifood:1, Kronkdog
thedalekmod:ifood:2, Kronkdog with mustard
thedalekmod:ifood:3, Kronkdog with ketchup
thedalekmod:ifood:4, Fries
thedalekmod:ifood:5, Kronkshake
thedalekmod:ifood:6, Nutella
thedalekmod:ifood:7, Pepsi
thedalekmod:ifood:8, Doughnut
thedalekmod:ifood:9, Ice Cream
thedalekmod:ifood:10, Pizza
thedalekmod:ifood:11, Bag of Jelly Babies
thedalekmod:ifood:12, Fish finger and custard
thedalekmod:ifood:13, Zygon Tongue Stew
thedalekmod:ifood:14, Cheese
thedalekmod:ifood:15, Thana
thedalekmod:ifood:16, Toasted Waffle
thedalekmod:ifood:17, Rice Pudding
thedalekmod:ifood:18, Lemonade
thedalekmod:ifood:19, Lemon
thedalekmod:ifood:20, Tea
thedalekmod:k9_aussie, Aussie K9 Spawner
thedalekmod:spaceblocksonic, Etho's Sonic Screwdriver
thedalekmod:dalek_cookie, §6§lDalek §e§lCookie
thedalekmod:iammo, Ammo
